ckey,lat,long,alt
D10_20190202_211438_9653,31.40632,-95.16888,12
D10_20190202_211438_9653,31.4054,-95.16682,12
D10_20190202_211438_9653,31.40449,-95.16461,12
D10_20190202_211438_9653,31.40352,-95.16225,12
D10_20190202_211438_9653,31.40261,-95.1602,12
D10_20190202_211438_9653,31.40163,-95.15784,12
D10_20190202_211438_9653,31.40078,-95.15578,12
D10_20190202_211438_9653,31.39961,-95.15297,12
D10_20190202_211438_9653,31.3987,-95.15069,12
D10_20190202_211438_9653,31.39766,-95.14825,12
D10_20190202_211438_9653,31.39668,-95.14582,12
D10_20190202_211438_9653,31.3957,-95.14346,12
D10_20190202_211438_9653,31.39492,-95.14155,12
D10_20190202_211438_9653,31.39368,-95.13851,12
D10_20190202_211438_9653,31.39271,-95.13608,12
D10_20190202_211438_9653,31.39166,-95.13356,12
D10_20190202_211438_9653,31.39088,-95.13159,12
D10_20190202_211438_9653,31.38991,-95.12915,12
D10_20190202_211438_9653,31.38899,-95.12694,12
D10_20190202_211438_9653,31.38802,-95.12459,12
D10_20190202_211438_9653,31.38697,-95.12192,12
D10_20190202_211438_9653,31.386,-95.11957,12
D10_20190202_211438_9653,31.38502,-95.11728,12
D10_20190202_211438_9653,31.38404,-95.11492,12
D10_20190202_211438_9653,31.38319,-95.11279,12
D10_20190202_211438_9653,31.38228,-95.11066,12
D10_20190202_211438_9653,31.38124,-95.10823,12
D10_20190202_211438_9653,31.38039,-95.1061,12
D10_20190202_211438_9653,31.37941,-95.10382,12
D10_20190202_211438_9653,31.37844,-95.10138,12
D10_20190202_211438_9653,31.37746,-95.09903,12
D10_20190202_211438_9653,31.37648,-95.09667,12
D10_20190202_211438_9653,31.3755,-95.09423,13
D10_20190202_211438_9653,31.37472,-95.09233,14
D10_20190202_211438_9653,31.374,-95.09051,14
D10_20190202_211438_9653,31.37322,-95.08853,15
D10_20190202_211438_9653,31.37237,-95.0864,15
D10_20190202_211438_9653,31.37153,-95.08442,15
D10_20190202_211438_9653,31.37055,-95.08199,15
D10_20190202_211438_9653,31.3697,-95.07993,15
D10_20190202_211438_9653,31.36898,-95.07803,15
D10_20190202_211438_9653,31.36807,-95.07552,15
D10_20190202_211438_9653,31.36722,-95.07347,15
D10_20190202_211438_9653,31.36631,-95.07119,15
D10_20190202_211438_9653,31.36533,-95.06868,15
D10_20190202_211438_9653,31.36442,-95.06663,15
D10_20190202_211438_9653,31.3635,-95.0645,15
D10_20190202_211438_9653,31.36259,-95.06229,15
D10_20190202_211438_9653,31.36161,-95.05986,15
D10_20190202_211438_9653,31.36076,-95.05788,15
D10_20190202_211438_9653,31.35972,-95.05522,15
D10_20190202_211438_9653,31.35881,-95.05286,15
D10_20190202_211438_9653,31.35789,-95.05066,15
D10_20190202_211438_9653,31.35705,-95.04868,15
D10_20190202_211438_9653,31.3562,-95.04655,15
D10_20190202_211438_9653,31.35515,-95.04397,15
D10_20190202_211438_9653,31.35417,-95.04146,15
D10_20190202_211438_9653,31.35339,-95.03956,15
D10_20190202_211438_9653,31.35235,-95.0369,15
D10_20190202_211438_9653,31.3515,-95.03469,15
D10_20190202_211438_9653,31.35052,-95.03211,15
D10_20190202_211438_9653,31.34947,-95.02952,15
D10_20190202_211438_9653,31.34863,-95.02747,15
D10_20190202_211438_9653,31.34771,-95.02527,15
D10_20190202_211438_9653,31.34673,-95.02291,15
D10_20190202_211438_9653,31.34602,-95.02124,15
D10_20190202_211438_9653,31.34471,-95.0182,15
D10_20190202_211438_9653,31.3438,-95.01607,15
D10_20190202_211438_9653,31.34295,-95.01394,15
D10_20190202_211438_9653,31.34197,-95.01166,15
D10_20190202_211438_9653,31.34099,-95.00946,15
D10_20190202_211438_9653,31.33994,-95.00695,15
D10_20190202_211438_9653,31.3389,-95.00451,15
D10_20190202_211438_9653,31.33838,-95.0033,15
D10_20190202_211438_9653,31.33687,-94.99988,15
D10_20190202_211438_9653,31.33603,-94.9979,15
D10_20190202_211438_9653,31.33511,-94.99578,15
D10_20190202_211438_9653,31.33426,-94.99372,15
D10_20190202_211438_9653,31.33322,-94.99144,15
D10_20190202_211438_9653,31.33211,-94.98871,15
D10_20190202_211438_9653,31.33113,-94.98628,15
D10_20190202_211438_9653,31.33034,-94.98438,15
D10_20190202_211438_9653,31.32943,-94.9821,15
D10_20190202_211438_9653,31.32851,-94.97966,15
D10_20190202_211438_9653,31.3276,-94.97739,15
D10_20190202_211438_9653,31.32668,-94.97518,15
D10_20190202_211438_9653,31.3259,-94.97313,15
D10_20190202_211438_9653,31.32492,-94.9707,15
D10_20190202_211438_9653,31.324,-94.96842,15
D10_20190202_211438_9653,31.32302,-94.96614,15
D10_20190202_211438_9653,31.3223,-94.96424,15
D10_20190202_211438_9653,31.32132,-94.96181,15
D10_20190202_211438_9653,31.32041,-94.95961,15
D10_20190202_211438_9653,31.31936,-94.95725,15
D10_20190202_211438_9653,31.31845,-94.95505,15
D10_20190202_211438_9653,31.31753,-94.953,15
D10_20190202_211438_9653,31.31662,-94.95079,15
D10_20190202_211438_9653,31.3157,-94.94867,15
D10_20190202_211438_9653,31.31472,-94.94624,15
D10_20190202_211438_9653,31.31361,-94.94365,15
D10_20190202_211438_9653,31.31257,-94.94122,15
D10_20190202_211438_9653,31.31158,-94.93894,15
D10_20190202_211438_9653,31.31073,-94.93689,15
D10_20190202_211438_9653,31.30988,-94.93492,15
D10_20190202_211438_9653,31.3089,-94.93264,15
D10_20190202_211438_9653,31.30792,-94.93028,15
D10_20190202_211438_9653,31.30688,-94.92778,15
D10_20190202_211438_9653,31.30596,-94.92565,15
D10_20190202_211438_9653,31.30505,-94.9233,15
D10_20190202_211438_9653,31.30406,-94.92094,15
D10_20190202_211438_9653,31.30308,-94.91859,15
D10_20190202_211438_9653,31.3023,-94.91661,15
D10_20190202_211438_9653,31.30119,-94.91373,15
D10_20190202_211438_9653,31.3002,-94.91122,15
D10_20190202_211438_9653,31.29916,-94.90872,15
D10_20190202_211438_9653,31.29831,-94.90667,15
D10_20190202_211438_9653,31.29805,-94.90598,15
D10_20190202_211438_9653,31.2949,-94.89824,15
D10_20190202_211438_9653,31.29242,-94.89231,15
D10_20190202_211438_9653,31.2898,-94.88624,15
D10_20190202_211438_9653,31.28712,-94.87986,15
D10_20190202_211438_9653,31.28483,-94.87432,15
D10_20190202_211438_9653,31.2824,-94.8684,15
D10_20190202_211438_9653,31.27992,-94.86218,15
D10_20190202_211438_9653,31.2773,-94.8558,15
D10_20190202_211438_9653,31.27441,-94.84927,15
D10_20190202_211438_9653,31.27179,-94.84259,15
D10_20190202_211438_9653,31.26904,-94.83584,16
D10_20190202_211438_9653,31.26675,-94.83007,16
D10_20190202_211438_9653,31.26445,-94.824,16
D10_20190202_211438_9653,31.26196,-94.8177,16
D10_20190202_211438_9653,31.25947,-94.81125,15
D10_20190202_211438_9653,31.25692,-94.80465,15
D10_20190202_211438_9653,31.25482,-94.79888,13
D10_20190202_211438_9653,31.25259,-94.79281,12
D10_20190202_211438_9653,31.25068,-94.7875,11
D10_20190202_211438_9653,31.24845,-94.78181,10
D10_20190202_211438_9653,31.24629,-94.77673,9
D10_20190202_211438_9653,31.24419,-94.77218,9
D10_20190202_211438_9653,31.24216,-94.76786,9
D10_20190202_211438_9653,31.24013,-94.76384,8
D10_20190202_211438_9653,31.23803,-94.7599,7
D10_20190202_211438_9653,31.23646,-94.75702,6
D10_20190202_211438_9653,31.23561,-94.75634,5
D10_20190202_211438_9653,31.23436,-94.75459,4
D10_20190202_211438_9653,31.23417,-94.75475,4
D10_20190202_211438_9653,31.23293,-94.75315,4
D11_20190202_211438_9653,31.23253,-94.75323,3
D11_20190202_211438_9653,31.83551,-95.98279,13
D11_20190202_211438_9653,31.83416,-96.08279,13.13
D11_20190202_211438_9653,31.83076,-96.07942,13.2613
D11_20190202_211438_9653,31.8298,-96.07091,13.393913
D11_20190202_211438_9653,31.82884,-96.06854,13.52785213
D11_20190202_211438_9653,31.82782,-96.06616,13.6631306513
D11_20190202_211438_9653,31.82743,-96.06363,13.799761957813
D11_20190202_211438_9653,31.82589,-96.06256,13.9377595773911
D11_20190202_211438_9653,31.825,-96.05865,14.077137173165
D11_20190202_211438_9653,31.8241,-96.05643,14.2179085448967
D11_20190202_211438_9653,31.82327,-96.05421,14.3600876303457
D11_20190202_211438_9653,31.82243,-96.05214,14.5036885066491
D11_20190202_211438_9653,31.82147,-96.04991,14.6487253917156
D11_20190202_211438_9653,31.82064,-96.04754,14.7952126456328
D11_20190202_211438_9653,31.81968,-96.04532,14.9431647720891
D11_20190202_211438_9653,31.81878,-96.04287,15.09259641981
D11_20190202_211438_9653,31.81782,-96.04057,15.2435223840081
D11_20190202_211438_9653,31.81699,-96.03812,15.3959576078482
D11_20190202_211438_9653,31.81602,-96.03597,15.5499171839266
D11_20190202_211438_9653,31.81513,-96.03352,15.7054163557659
D11_20190202_211438_9653,31.81423,-96.03114,15.8624705193236
D11_20190202_211438_9653,31.81346,-96.02885,16.0210952245168
D11_20190202_211438_9653,31.81237,-96.02678,16.181306176762
D11_20190202_211438_9653,31.81141,-96.0241,16.3431192385296
D11_20190202_211438_9653,31.81045,-96.02149,16.5065504309149
D11_20190202_211438_9653,31.80961,-96.01927,16.671615935224
D11_20190202_211438_9653,31.80871,-96.01713,16.8383320945763
